('162', '被解救的姜戈', '2012', '昆汀·塔伦蒂诺 Quentin Tarantino', '美国', '8.7')
('163', '卢旺达饭店', '2004', '特瑞·乔治 Terry George', '英国 南非 意大利 美国', '8.9')
('164', '海边的曼彻斯特', '2016', '肯尼斯·罗纳根 Kenneth Lonergan', '美国', '8.6')
('165', '你的名字。', '2016', '新海诚 Makoto Shinkai', '日本', '8.4')
('166', '头脑特工队', '2015', '藤森雅也 Masaya Fujimori', '美国', '8.7')
('167', '你看起来好像很好吃', '2010', '杰茜·尼尔森 Jessie Nelson', '日本', '8.8')
('168', '我是山姆', '2001', '尼克·卡索维茨 Nick Cassavetes', '美国', '8.9')
('169', '恋恋笔记本', '2004', '瑞奇·莫尔 Rich Moore', '美国', '8.5')
('170', '无敌破坏王', '2012', '杰拉尔·乌里 Gérard Oury', '美国', '8.7')
('171', '虎口脱险', '1966', '卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge', '法国 英国', '8.9')
('172', '冰川时代', '2002', '郭柯 Ke Guo', '美国', '8.5')
('173', '二十二', '2015', '雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud', '中国大陆', '8.7')
('174', '海洋', '2009', '严定宪 Dingxian Yan / 王树忱 Shuchen Wang', '法国 瑞士 西班牙 美国 阿联酋', '9.0')
('176', '雨中曲', '1952', '斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly', '美国', '9.0')
('177', '爆裂鼓手', '2014', '达米恩·查泽雷 Damien Chazelle', '美国', '8.7')
('178', '未麻的部屋', '1997', '今敏 Satoshi Kon', '日本', '8.9')
('179', '模仿游戏', '2014', '莫滕·泰杜姆 Morten Tyldum', '英国 美国', '8.6')
('180', '一个叫欧维的男人决定去死', '2015', '汉内斯·赫尔姆 Hannes Holm', '瑞典', '8.8')
('181', '燃情岁月', '1994', '爱德华·兹威克 Edward Zwick', '美国', '8.8')
('182', '忠犬八公物语', '1987', 'Seijirô Kôyama', '日本', '9.1')
('183', '人工智能', '2001', '史蒂文·斯皮尔伯格 Steven Spielberg', '美国', '8.6')
('184', '魔女宅急便', '1989', '宫崎骏 Hayao Miyazaki', '日本', '8.6')
('185', '房间', '2015', '伦尼·阿伯拉罕森 Lenny Abrahamson', '爱尔兰 加拿大 英国 美国', '8.8')
('186', '穿越时空的少女', '2006', '细田守 Mamoru Hosoda', '日本', '8.6')
('187', '魂断蓝桥', '1940', '茂文·勒鲁瓦 Mervyn LeRoy', '美国', '8.8')
('188', '天书奇谭', '2009', '王树忱 Shuchen Wang / 钱运达 Yunda Qian', '中国大陆', '9.1')
('189', '恐怖游轮', '2015', '克里斯托弗·史密斯 Christopher Smith', '英国 澳大利亚', '8.4')
('190', '海街日记', '2003', '是枝裕和 Hirokazu Koreeda', '日本', '8.7')
('191', '黑客帝国3：矩阵革命', '1996', 'Andy Wachowski / Larry Wachowski', '美国 澳大利亚', '8.7')
('192', '猜火车', '2016', '丹尼·博伊尔 Danny Boyle', '英国', '8.5')
('193', '完美陌生人', '1950', '保罗·格诺维瑟 Paolo Genovese', '意大利', '8.5')
('194', '罗生门', '1990', '黑泽明 Akira Kurosawa', '日本', '8.8')
('195', '阿飞正传', '2006', '王家卫 Kar Wai Wong', '香港', '8.5')
('196', '香水', '2004', '汤姆·提克威 Tom Tykwer', '德国 法国 西班牙 美国', '8.5')
('197', '可可西里', '2008', '陆川 Chuan Lu', '中国大陆 香港', '8.7')
('198', '朗读者', '2018', '史蒂芬·戴德利 Stephen Daldry', '美国 德国', '8.5')
('199', '头号玩家', '2008', '史蒂文·斯皮尔伯格 Steven Spielberg', '美国', '8.7')
('201', '谍影重重2', '2004', '保罗·格林格拉斯 Paul Greengrass', '美国 德国', '8.6')
('202', '谍影重重', '2002', '道格·里曼 Doug Liman', '美国 德国 捷克', '8.6')
('203', '牯岭街少年杀人事件', '1991', '杨德昌 Edward Yang', '台湾', '8.8')
('204', '功夫', '2004', '周星驰 Stephen Chow', '中国大陆 香港', '8.4')
('205', '战争之王', '2005', '安德鲁·尼科尔 Andrew Niccol', '美国 法国', '8.6')
('206', '地球上的星星', '2007', '阿米尔·汗 Aamir Khan', '印度', '8.9')
('207', '疯狂的石头', '2006', '宁浩 Hao Ning', '中国大陆 香港', '8.4')
('208', '初恋这件小事', '2010', '徐克 Hark Tsui', '泰国', '8.3')
('209', '青蛇', '1993', 'Alfred Hitchcock', '香港', '8.5')
('210', '惊魂记', '1960', '詹姆斯·卡梅隆 James Cameron', '美国', '8.9')
('211', '终结者2：审判日', '1991', '邓肯·琼斯 Duncan Jones', '美国 法国', '8.6')
('212', '源代码', '2011', '理查德·林克莱特 Richard Linklater', '美国 加拿大', '8.4')
('213', '爱在午夜降临前', '2013', '是枝裕和 Hirokazu Koreeda', '美国 希腊', '8.8')
('214', '步履不停', '2008', '李惠民 Raymond Lee', '日本', '8.8')
('215', '新龙门客栈', '1992', '卡比尔·汗 Kabir Khan', '香港 中国大陆', '8.5')
('216', '小萝莉的猴神大叔', '2015', '斯蒂芬·卓博斯基 Stephen Chbosky', '印度', '8.5')
('217', '奇迹男孩', '2017', '阿斯哈·法哈蒂  Asghar Farhadi', '美国 香港', '8.6')
('218', '一次别离', '2011', '克里斯托弗·诺兰 Christopher Nolan', '伊朗 法国', '8.7')
('219', '追随', '1998', '约翰·卡尼 John Carney', '英国', '8.9')
('220', '再次出发之纽约遇见你', '2013', 'Quentin Tarantino', '美国', '8.5')
('221', '无耻混蛋', '2009', '保罗·哈吉斯 Paul Haggis', '美国 德国', '8.5')
('222', '撞车', '2004', '小津安二郎 Yasujirô Ozu', '美国 德国', '8.6')
('223', '东京物语', '1953', '爱德华·兹威克 Edward Zwick', '日本', '9.2')
('224', '血钻', '2006', 'Charles Chaplin', '美国 德国', '8.6')
('226', '彗星来的那一夜', '2013', '詹姆斯·沃德·布柯特 James Ward Byrkit', '美国 英国', '8.5')
('227', '2001太空漫游', '1968', '斯坦利·库布里克 Stanley Kubrick', '英国 美国', '8.7')
('228', '釜山行', '2016', '延尚昊 Sang-ho Yeon', '韩国', '8.4')
('229', '梦之安魂曲', '2000', '达伦·阿伦诺夫斯基 Darren Aronofsky', '美国', '8.7')
('230', '绿里奇迹', '1999', 'Frank Darabont', '美国', '8.7')
('231', '新世界', '2013', '朴勋政 Hoon-jung Park', '韩国', '8.7')
('232', '疯狂的麦克斯4：狂暴之路', '2015', '乔治·米勒 George Miller', '澳大利亚 美国', '8.6')
('233', '聚焦', '2015', '托马斯·麦卡锡 Thomas McCarthy', '美国', '8.8')
('234', 'E.T. 外星人', '1982', 'Steven Spielberg', '美国', '8.5')
('235', '末路狂花', '1991', '雷德利·斯科特 Ridley Scott', '美国 法国', '8.7')
('236', '这个男人来自地球', '2007', '理查德·沙因克曼 Richard Schenkman', '美国', '8.5')
('237', '黑鹰坠落', '2001', '雷德利·斯科特 Ridley Scott', '美国', '8.6')
('238', '发条橙', '1971', 'Stanley Kubrick', '英国 美国', '8.5')
('239', '遗愿清单', '2007', '罗伯·莱纳 Rob Reiner', '美国', '8.6')
('240', '变脸', '1997', '吴宇森 John Woo', '美国', '8.4')
('241', '勇闯夺命岛', '1996', '迈克尔·贝 Michael Bay', '美国', '8.6')
('242', '国王的演讲', '2010', '汤姆·霍珀 Tom Hooper', '英国 澳大利亚 美国', '8.4')
('243', '我爱你', '2011', '秋昌民 Chang-min Choo', '韩国', '9.0')
('244', '黄金三镖客', '1966', 'Sergio Leone', '意大利 西班牙 西德', '9.1')
('245', '千钧一发', '1997', '安德鲁·尼科尔 Andrew Niccol', '美国', '8.7')
('246', '非常嫌疑犯', '1995', '布莱恩·辛格 Bryan Singer', '德国 美国', '8.6')
('247', '秒速5厘米', '2007', '新海诚 Makoto Shinkai', '日本', '8.3')
('248', '驴得水', '2016', '周申 Shen Zhou / 刘露 Lu Liu', '中国大陆', '8.3')
('249', '四个春天', '2017', '陆庆屹 Lu Qing Yi', '中国大陆', '8.9')
('250', '卡萨布兰卡', '1942', '迈克尔·柯蒂兹 Michael Curtiz', '美国', '8.6')
